2020-02-19/17:47:58		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/17:47:58		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/17:47:59		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/17:47:59		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/17:47:59		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/17:47:59		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/17:47:59		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/17:47:59		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/17:47:59		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/17:47:59		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/17:47:59		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/17:48:00		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/17:48:00		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/17:48:00		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/17:48:00		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/17:48:00		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/17:48:00		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/17:48:00		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/17:48:00		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
